liberica-11.0.11+9	bellsoft-jdk11.0.11+9-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.11+9/bellsoft-jdk11.0.11+9-windows-aarch64.zip	a715baf1c8eb5688ef8326a52106516c2f27c424654d97761842d5705e9a2e09
liberica-11.0.12+7	bellsoft-jdk11.0.12+7-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.12+7/bellsoft-jdk11.0.12+7-windows-aarch64.zip	35781d57b9bd9e369a6a1ab50e112a625a429224d88fa5b233cb7b359f2a0ea4
liberica-11.0.13+8	bellsoft-jdk11.0.13+8-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.13+8/bellsoft-jdk11.0.13+8-windows-aarch64.zip	16f354d6418a2f5cdca481612aa8bf39668e44ac83b70ac84d89978dd5f80f44
liberica-16.0.1+9	bellsoft-jdk16.0.1+9-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/16.0.1+9/bellsoft-jdk16.0.1+9-windows-aarch64.zip	32653ae2ae25ab457ab486bd03b92e75591c03b3cde53b2dae4cef34a30fb5d6
liberica-16.0.2+7	bellsoft-jdk16.0.2+7-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/16.0.2+7/bellsoft-jdk16.0.2+7-windows-aarch64.zip	dc7e1a50ee289c50aa671be39bc233be6d900712b7d138c7c048f905ae0b4a9f
liberica-17+35	bellsoft-jdk17+35-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/17+35/bellsoft-jdk17+35-windows-aarch64.zip	84149f1fca03d5ac7a8771055187abd0e7abc0fa35eec5836d1fef6c3c38274f
liberica-17.0.1+12	bellsoft-jdk17.0.1+12-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/17.0.1+12/bellsoft-jdk17.0.1+12-windows-aarch64.zip	136d0d010eaba77616bac0b640a0b57a2dec2fb4adee64e43e4f260441775ec0
liberica-javafx-11.0.11+9	bellsoft-jdk11.0.11+9-windows-aarch64-full.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.11+9/bellsoft-jdk11.0.11+9-windows-aarch64-full.zip	09ae40be02c936789db23c89ae57f65e8fb86870ef6f4fceb922d67144498921
liberica-javafx-11.0.12+7	bellsoft-jdk11.0.12+7-windows-aarch64-full.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.12+7/bellsoft-jdk11.0.12+7-windows-aarch64-full.zip	5b0745e2ccfd2a8b03c9945bd3f4d93047f2f978b717b5e6ba8e6f25169012b5
liberica-javafx-11.0.13+8	bellsoft-jdk11.0.13+8-windows-aarch64-full.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.13+8/bellsoft-jdk11.0.13+8-windows-aarch64-full.zip	3d3a1c421539f05acf50e446384b2d0925fe10f17913159decf5e69c665997bf
liberica-javafx-16.0.1+9	bellsoft-jdk16.0.1+9-windows-aarch64-full.zip	https://github.com/bell-sw/Liberica/releases/download/16.0.1+9/bellsoft-jdk16.0.1+9-windows-aarch64-full.zip	3cf7d1f72a2a62e96774bb1d6ea12b0edbb4f080ad84374cdc36b0dd322dd655
liberica-javafx-16.0.2+7	bellsoft-jdk16.0.2+7-windows-aarch64-full.zip	https://github.com/bell-sw/Liberica/releases/download/16.0.2+7/bellsoft-jdk16.0.2+7-windows-aarch64-full.zip	c441495ac1298490f6e1218987d1f040ba99d8aa60527a689b66a0eb5816df90
liberica-javafx-17+35	bellsoft-jdk17+35-windows-aarch64-full.zip	https://github.com/bell-sw/Liberica/releases/download/17+35/bellsoft-jdk17+35-windows-aarch64-full.zip	251a4726bb4e583918d39a5d7991f884e56fdb3fd82e62817d7e77f4476a6e1c
liberica-javafx-17.0.1+12	bellsoft-jdk17.0.1+12-windows-aarch64-full.zip	https://github.com/bell-sw/Liberica/releases/download/17.0.1+12/bellsoft-jdk17.0.1+12-windows-aarch64-full.zip	43ef11c44ec3f51ece19e5fd9a0567f6f708919572d411896c15da2d71a24978
liberica-jre-11.0.11+9	bellsoft-jre11.0.11+9-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.11+9/bellsoft-jre11.0.11+9-windows-aarch64.zip	b542ad385a6143e10f9ec0083beb2c3dbc4e8be334fd43fb68b4c748229fc1fc
liberica-jre-11.0.12+7	bellsoft-jre11.0.12+7-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.12+7/bellsoft-jre11.0.12+7-windows-aarch64.zip	9cc0ef00afb07481ca5bb0b41e838dd482873b4642e278047219b64a79f588cc
liberica-jre-11.0.13+8	bellsoft-jre11.0.13+8-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.13+8/bellsoft-jre11.0.13+8-windows-aarch64.zip	5da3be5c4e0d3d666df5da924e24bc1d666fe62cb961e89fcff582e73389c0fa
liberica-jre-16.0.1+9	bellsoft-jre16.0.1+9-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/16.0.1+9/bellsoft-jre16.0.1+9-windows-aarch64.zip	83d4b0a7ad02ce2daa27d850b47df00f8661c688e59190c569c0d98b7c31c1ed
liberica-jre-16.0.2+7	bellsoft-jre16.0.2+7-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/16.0.2+7/bellsoft-jre16.0.2+7-windows-aarch64.zip	cc4c46a265fa67c44f2d96c01c3e2038647de53abe1c2fe2817e453e631a4aa5
